title,artist,lyrics,listens,hotness,genres,genius ID,spotify ID
Firebird's Flight,Against Myself,"

Born from the sun he flies over the dawn
Where he drinks the dew that the world gives
His plumage revives the chilly day
Heard is his song (x4)

Looking down, generates tears
To heal the pain of the world
While building the nest of his setting
Every five-hundred years he reaches it
Heard is his song (x4)

Time came established, heard is his crying
With stars his sacred history is completed
With his wings fanned the fire
His courage was thrown inside
From his own ashes so revive
And firebird’s flying is undertaken again

",18186,6,['Rock Genius'],3590117,4EbRe4pshaQoBZgwdeBxmy
All One Nation,Tito La Rosa,"

[instrumental with flute and percussion]

",137353,24,"['Instrumental', 'Pop Genius']",3897972,4KA30Vjo2B0sUGscj47XXM
Yes I Started The Instore Fight,Buffseeds,"

Yes I started the instore fight
Left me with bruises she nursed all night

When's it gonna end?
When's it gonna end?

You said attack was my best defence
Well I'm out of everything except my sense so

When's it gonna end?
When's it gonna end?
Tell me when's it gonna end?
When's it gonna end?

Can i erase your face from my day?
Can i erace your face from my day?
Can i erase your face from my day?
Can i erase your face?

When's it gonna end?
When's it gonna end?
When's it gonna end?
When's it gonna end?

Yes I started the instore fight
Left me in pieces but I'll be alright

",1769,0,['Pop Genius'],878140,19yV488e2R82mUz23gDXGl
The Yung Man II,LEW,"

[Verse 1: LEW]
Baby Im a trend setter
Took some time off to get better
Now when I aim, my shots dead center
No errors
Holding nothing back I open up like a sent letter
Cuz i been holding all this weight like a pallbearer
Big balls, but Im god fearing
This is the new me
This is a new era
Baby this is self improvement
They slept on my shit
Okay cool
But if they sleeping on this I chalk it up as foolish
Friends hating but I always knew it
That's why I say for every 10 niggas gain my trust 9 lose it
That's why Elzie keep the parabellum in the uzi
And Lew is not a shooter but can surely use it
You call'em haters I just call'em losers
Cuz stagnant niggas hate to see the boy moving
Headed straight to the guap
Cinderblock on the gas boy it's too late to stop

[Chorus: LEW]
Who gone stop the Yung man on his
Grind
Hold on baby I need more
Time
It's a lot of things running through my mind
My mind, my mind
Yeah
Look around girl the real is on the rise
Right now, no lie, yeah...
Who gone stop the Yung man on his
Grind

[Verse 2: LEW]
Its Puerto Rican papi
Niggas like walkie talkie how they copy
My style but they not me
Cashmere sweater coppin
Like I pulled it out the oven bare handed look at all the fuckin hot shit i been dropping
Yeah
When niggas talk I'm the topic
Got this money on my mind I'm fucking Walking profit
Cash cow for the city
Couple girls trynna get it and some niggas trynna get me
Ugh
Taking shots but they missing
All this heat got'em sweating like they running long distance
Like a bride and groom mothafucka im committed to the grind ima shine do you see the lights hittin, ima
Young visionary talking my shit
Don't let me talk to your bitch or she gone slob on the dick
Boy I'm not rich until the family rich
We gone get it but be patient it might take us bit
Lew

[Chorus: LEW]
Who gone stop the Yung man on his
Grind
Hold on baby I need more
Time
It's a lot of things running through my mind
My mind, my mind
Yeah
Look around girl the real is on the rise
Right now, no lie, yeah...
Who gone stop the Yung man on his
Grind

",0,0,['Rap Genius'],3651531,6zNgZVjw3Hd7FNfVbvYFDP
The Last Ray (Remastered),This Mortal Coil,"

[Instrumental]

",235992,25,['Pop Genius'],2241648,1T7LUlRnlAjnr4CLjwvSuw
ANGEL,Seagull Screaming Kiss Her Kiss Her,"

I wanna be a girlfriend
I wanna be a whore
I wanna be loved'
Loved' Loved'
Oh, Jesus!

If you were there
I wanna be a angel
Oh, angel
I wanna be a girlfriend
I wanna be a whore
I wanna be in hell and heaven
In hell and heaven
In hell and'

Don't know where, where I go
But, I am on my way
Just let me go anywhere

Angel
I wanna be a girlfriend
I wanna be a whore
I wanna be loved'
Loved' Loved'
Oh, Jesus!

If you were there
I wanna be a angel
I wanna be loved'
Loved' Loved'
Oh, angel
I wanna be a girlfriend
I wanna be a whore
In hell and heaven
In hell and'

",1712,4,['Pop Genius'],1122715,5EfUsq8Kk1FQ540FQT208k
Narcissus Wit a Yata Mirror,Rey Morado,"

Me me, I be so on fire
Me me, cannot stand a liar said
Meet me, when the sun grow tired, they like why you so quiet who me me me?
Feed me, I'm the rapper eater, vintage shit, now the caps receding
I'ma need me, to pick myself up. Ain't that much, I'm like five three three
Fuck the hee-hee and the clown shit, ain't speakin' yo mind don't come round then
I'm tryna 3 peat they say it sound dim, keep my ears plugged, plug got the loud in
I'm tryna chief chief, she love the brown skin, hol up
Mayday mayday this ain't Townsville, so I'mma bcc you da message (phone vibration)
We dem niggas tho ain't no disrespectin'
Got my feet feet up, tree in da air, no time for scare pullin' receipts
Bare bones once they clout recede, (cloud) Cloud make em look like D League
Hao-ha
How I be da feces, I heard yo shit I give it 3 Z's
Im the sliced bread plus the bee's knees, they like who yo favorite Rey say me me me
I can't remember a wee geeked, 12 give me vibe a Elm Street
I said weed weed water same thang, 20 a G? Nigga hol up free-freeze me
Ice cold, hit the nitro, vice load, heavy as a ply flo', FICO prolly on the downtrend, I'ma pay ya give a nigga 1,2,3...
Dih for my blunt to be smoked, bout bright as a star who see, choke
Never me, coughin' up my lungs ain't no disease, it put me at ease
These niggas sleep (sleep), I got Assasin Creed sleeves, make em bleed bleed
Ama-Amazon, ain't got nun on this flow a bomb, ring alarm. Who the culprit?
Nigga, me me, I remember they ain't need me
Niggas quittin' cause its hard oh god, like who said it would be easy
Jugg, jugg gotta watch my step, every breath they utter greasy
Every dread got some power in it, oblivious niggas say peezy
Bet they women still gone please me, bring me seasons, roll up my Riddle Cs
I take the grav, over Hennessey, I take the green, over sippin' pink
This be that WuTang cream up in ya coffee, wake dese niggas up roaring like Mufasa
This whatever G shocked, watch ya Fossil, it be our time, can't a nigga stop it say
Me me, I love my aesthetic, me think they be so pathetic
Said me me, to the top I'm headed, you can meet me and you can get beheaded

",0,0,['Rap Genius'],3337046,49pn6oeUA2ln2VJtHCAuSI
"NY, NY",Ice-T,"

The seventh baby...

Chorus:
I represent from LA
All the way to (NY NY)
And when I get down
I get down here in LA
All the way to (NY NY)
And when I parley
I parley here in LA
All the way to (NY NY)

Touched the Iceberg baby
I'll send you under like the Titanic
Gun fight romantic
Gigantic on the pages
Of the hustler trade
World reknown for my realness
Only the real will feel this
Stainless steel is
The straps that I'm copulating
Touch'em a lady (?)
Blow your hand off
African stand-off
The general
Ice the hardest mineral
Feel me, a gem correct
One thing that I got you'll never get's respect
I stick the pits on ya
I represent California
Home of the shooters
The looters
The drug movers
Girl barracuda
Set you up for the kill
Where you're really not ballin unless you got 10 mill
I shine so bright I blind ya
Cross my crew, we'll find ya
It's a motherfuckin shame
My dominance to this game
I live for gun smoke aroma
Mack yo' bitch into a coma
Two hoes like Noah of every type
Bitches I kick to curbs, you would make your wife
Twice hit by the gun spit, kid still breathing
While half you busters in this damn game are still teething
Believe it if you say it enough that you'll be it
You never lived none of your raps, or even seen it
I mean it, every word a brother say
Everyday a brother play, kid
I politic and parley
The fact is I practice
Camoflauge to this
R & B androgynous
Get the most play
So I get fly
Do a movie - quadruple my cash
You just went double platinum
Let's see if you last
Every word that I say is documented and repeated
The truth is, I dropped the raw game, boy believe it
I've succeeded, in turning dirty dough legal
Bounced to the Bentley from the prime-it-up Regal
Like Biggie says, It's unbelieveable
My street pull
You even play like step in my way
You'll meet my people

Chorus

I've been round the world ballin, did it all, what's next?
While most of y'all busters on your first rolex
Been deep in the life kid, since 76
Touched the water, the crack game, the jewelry licks
Fix yourself if you're broke fool, that ain't my fault
The game must be taught and comprehended, then implemented
Moves done illegally, carried out strategically
Or else incarceration is felt, the hand is dealt
You lose it's frightening
Hit with 10 indictments
Kiss your baby and your wife
You're riding kites for life
Alot of y'all won't feel me, but some of y'all do
I'll move at least a half a mill of this before I'm through
That ain't the most, but I've done this longer than you
Plus it ain't my only gig, I'm still connected
With the boys that can flip a thou to a ticket
Wicked
My stature when you're in my rapture
Meet me on the street? I'm the nicest brother you meet
Confusing sometimes, the way I bust a rough rhyme
You might think I'm lying, cool I like that
I smile in your face, squeeze off the case, rock the Glock back
In your stomach, then I'll smile again
Don't want to be your enemy, I'd rather be your friend
Only the real win in the game, but what's the prize?
Every man goes through mad drama, and every man dies
Look in my eyes, touch my soul, I ain't like you
The evil I've done, I've got lots of retribution to do
That's an impossible task, cause every night the gats blast
So I look to the sky and ask
I've been blessed by God to rock this mic hard, so I do it
You got a problem, work through it
I love New York night, bright lights and action
I love bailin with my Bronx niggas, party crashin
I love switch hittin with my niggas on the shaw
You might see me in New Orleans at Mardi Gras
Or Miami at the Lex, in the Oaktown live
Or in Chi-town at the Players Ball, true P.I
Pimp or Die, Ice baby, it's a well known fact
That true players play the whole map

And we play all the way to (NY NY)

Chorus

",4585,7,['Rap Genius'],23194,56snkW1PIlyxYTKOK4dD6d
Walk You Down,Basia Bulat,"

Anytime that you ask for me
With a promise you can never keep
If you know devotion is hard to see
You're never looking for your crown
But it's there every time you're near me
Now I know that I love you dearly
And you know the ending better than me
It's all tied up in my hair like the prettiest song

And the day you fall apart
If you're not too proud, will you walk me down?
When I've been so lost
And if I never give you up
If I'm not too proud, oh I'll walk you down

If you never turn your mind on me
Where the chapel in your eyes had been
If you know devotion is hard to keep
And you can only let it go
But it's there anytime you're near me
Oh I know that I love you dearly
But you know the ending better than me
You're hanging me in your crown, where I don't belong

And on the day I fall apart
If you're not too proud, will you walk me down?
When I've been so lost
And if I never give you up
You're not too proud
Oh I'll walk you down

But if it seems dark, if I say that you're mine
If all confessions were enough, dear
If I only knew how
I'm still there tied up in that crown
On the day I fall apart
If you're not too proud
Will you walk me down?
Well I've been so lost
I never want to give you up
But I know I'm found
Oh I've heard it now
Oh, I'll walk you down

",202642,15,['Pop Genius'],1324898,65LOfyzXlA9HLRGEm7uQ53
Puedo llamarte,Vanesa Martín,"

Ya he lavado todo, no me queda nada
Saqué la basura y abrí la terraza, pa que corra el aire y se lleve despacio
Este olor a gritos que se me ha quedado

Deshice las cajas, odio las mudanzas
He de acostumbrarme a esta nueva etapa, ya colgué los cuadros
Se rompió aquel mueble que nos regalaron un mes de noviembre...

Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte... no...
Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte...
Y será mejor que no

Ya se fueron todos, no quedaba hielo
Recogí las copas, y encendí un mechero, apagué las luces, me senté en el suelo...
Qué difícil verte, no sé si te quiero

Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte... no...
Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte...
Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte...
Que no me den la voz, la voz, la voz, la voz...
Porque puedo llamarte...
Y será mejor que no
Y será mejor que no...

Ya he lavado todo, no me queda nada
Saqué la basura y abrí la terraza, pa que corra el aire y se lleve despacio
Este olor a gritos que se me ha quedado

",1952981,20,"['En Español', 'Pop Genius']",2007069,5Cj6alxRxpQkKRzUytadXs
Unkillable,Reese LAFLARE,"

[Intro]
Sticks and stones
Everything Foreign, haha
But, they'll never bury me
Mario!

[Chorus]
Sticks and stones may break my bones, but they'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see
Sticks and stones may break my bones, but you'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see

[Interlude]
Bum-bum-bum-bum-bum-bum-bum-bum
Bum-bum-bum-bada-bum

[Verse 1]
I won't break, I won't die
In the night, come alive
Bad bitch, that's a vibe
See our fate in her eyes
I won't fuss, I won't fight
Ain't no tears, or no cries
Break me down and turn me up a notch
I feel pity for those guys

[Bridge]
Y'all can't fuck with me, can't fuck with me, can't fuck with me
I'm un-killable, this life, that life, at day, at night, like some bitch
Oh shit, I'm lit

[Chorus]
Sticks and stones may break my bones, but they'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see
Sticks and stones may break my bones, but you'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see

[Verse 2]
This little light of mine, I'ma let it shine
That's the ice on neck, check the price on it
See they hateful face, they want me erased
They can't break my soul, I can't ever fold

[Bridge]
Y'all can't fuck with me, can't fuck with me, can't fuck with me
Y'all can't fuck with me, can't fuck with me, can't fuck with me

[Chorus]
Sticks and stones may break my bones, but they'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see
Sticks and stones may break my bones, but you'll never bury me
I'm un-killable, y'all can't fuck with me, it's not that hard to see

[Outro]
Bum-bum-bum-bum-bum-bum-bum-bum
Bum-bum-bum-bada-bum
Bum-bum-bum-bum-bum-bum-bum-bum
Bum-bum-bum-bada-bum

",337740,29,['Rap Genius'],3972628,1lkNwy1fmUfwjSXpB9NzMK
Vanidosa,Bobby Pulido,"

Vanidosa eres tu la mas bonita por eso te quiero y
Por eso te adoro por que eres vanidosa

Por que tu mueves la cinturita como me gusta y
Tienes esa cara bonita esa figura a todo dar

Por que te pintas tus uÑas, tus labios
Tambien tu pelo y siempre te miras en el espejo
Por eso estas como estas

Vanidosa, vanidosa vanidosa, vanidosa vanidosa
Vanidosa asi me gusta como estas

Vanidosa, vanidosa vanidosa, vanidosa vanidosa
Vanidosa tambien te quiero enamorar

Vanidosa eres tu la mas bonita por eso te quiero
Y por eso te adoro por que eres vanidosa

Por que tu mueves la cinturita como me gusta y
Tienes esa cara bonita esa figura a todo dar

Por que te pintas tus uñas, tus labios
Tambien tu pelo y siempre te miras en el espejo
Por eso estas como estas

Vanidosa, vanidosa vanidosa, vanidosa vanidosa
Vanidosa asi me gusta como estas

Vanidosa, vanidosa vanidosa, vanidosa vanidosa
Vanidosa tambien te quiero enamorar

Vanidosa vanidosa vanidosa asi me gusta como
Estas

Vanidosa vanidosa tinto hermosa vanidosa tambien
Te quiero enamorar

",1214839,41,"['En Español', 'Pop Genius']",2049009,1vYr5ZeSiMAPOZPcXN7rYn
Contrato Limosna,The Locos,"

Que feliz, hoy me siento contento
Ya tengo trabajo llego mi momento
Mis vecinos envidian mi suerte
El único del barrio con cuenta corriente

Hipoteca que mantener, deudas y rentas hasta la sien
Sin contrato, sin horario
De sol a soles curro por un sueldo precario
No protesto por si la cago
No vallan a pensar que solo soy un vago

Si mi familia me quiere ver
Ya colgué fotos en la pared

Lalaralalalalarala, lalaralaralarala lalaralaralarala
Y grito Lalaralalalalarala, lalaralaralarala lalaralaralarala

Sin concertantes ni edulcorantes
Mierda que tragamos los que somo currantes
Con la crisis, contrato limosna
Aumentan veneficios siempre a nuestra costa
Tanto cortar el seguro social
Me morire antes de enfermar

Y si me explotan, sonrisa profident
Les cantare cuanto mas por culo me den
Ni mis estudios, ni mi preparación
Me libraran de esta puta explotación

Lalaralalalalarala, lalaralaralarala lalaralaralarala
Y grito Lalaralalalalarala, lalaralaralarala lalaralaralarala

Si al currar esto no tienes claro
Si pierdes tus derechos seras un esclavo
No te creas que estas soñando
Despierta en esta vida que te estan sangrando

Con este abuso laboral
Sangre y sudor hasta reventar
Y si me explotan, sonrisa profident
Les cantare cuanto mas por culo me den
Ni mis estudios, ni mi preparación
Me libraran de esta puta explotación

",1050752,36,"['Rock Genius', 'Ska Punk', 'Punk Rock', 'En Español']",1967510,5Y71YQqU245tclgCxQvKpH
Angelique,Mike Oldfield,"

Angelique... Angelique...
Angelique... Angelique...
.........................

",514585,22,['Pop Genius'],1033066,1eTp5dY61bVWF4EzyNpzDE
The Hiding,Pentax_X,"

[Intro]
She lives in an Island of her own design
She lets nobody inside
But I caught her leaving once
And so I told her

[Chorus]
Put your head on my shoulder
Whisper in my ear, baby
Hiding behind all of her smiles
Cause she's lying on the inside
On my
On my
Whisper in
Whisper in

[Verse]
Take a look at what you did
She'll throw it all away
Throw it all away
Throw it all away
It's hard to keep it up
So Don't you walk away
Don't you walk away
Don't you walk away

[Chorus]
Put your head on my shoulder
Whisper in my ear, baby
Hiding behind all of her smiles
Cause she's lying on the inside
Put your head (Put your head) on my shoulder
Whisper in my ear, baby
Hiding behind all of her smiles
Cause she's lying on the inside

[Outro]
On my
On my
Whisper in
Whisper in
On my
On my
Whisper in
Whisper in

",0,0,"['Indie', 'R&B Genius']",3820066,76QJx7TsWKn2lOYKPCtpxc
The Lights,Mull Historical Society,"

She's sniffing the night
His arms in the air
She follows the light
He's already there

She lights up a cigarette
He sings her a song
She likes to forget
He helps her along

And we wash their hair
And we test their eyes
It must be like Strangeways
Is living inside

She peels from a leaf
He circles the stars
She picks her teeth
He stares at the cars

The man from England said
There's no sign of bodies
The man from England read
Let hope be on their side

She pours him a Coke
He opens his heart
She tells him a joke
They're forever a spark

And we wash their hair
And we test their eyes
It must be like Strangeways
Is living inside

And we let them in
And we take them out
We're watching their progress
One day they'll be out

",56649,7,['Pop Genius'],2122730,1FKEEyw15i9HaFEzqt5Qo3
Don't Hide,Mike Perry,"

[Verse 1]
You, you make me feel like me
Oh, the air you breathe takes me in
I, I didn't know that I
Had been in your eyes for a while

[Pre-Chorus]
So if this is the way to go
The feels we hold are just another road
Taking us to nowhere

[Chorus]
Don't hide, don't hide
'Cause I don't wanna do this, I don't wanna do that

Don't hide, don't hide
'Cause I don't wanna do this, I don't wanna do that

[Post-Chorus]
Don't hide, don't hide
'Cause I don't wanna, I don't wanna
Don't hide, don't hide

Don't hide, don't hide
'Cause I don't wanna, I don't wanna
Don't hide, don't hide

Don't hide, don't hide
'Cause I don't wanna, I don't wanna
Don't hide, don't hide

[Verse  2]
This, this could be everything
Not just anything, lets unfold
But we, we need to find it out
How we do without or just turn around

[Pre-Chorus]
So if this is the way to go
The feels we hold are just another road
Taking us to nowhere

[Chorus]
Don't hide, don't hide
'Cause I don't wanna do this, I don't wanna do that

Don't hide, don't hide
'Cause I don't wanna do this, I don't wanna do that

[Post-Chorus]
Don't hide, don't hide
'Cause I don't wanna, I don't wanna
Don't hide, don't hide

Don't hide, don't hide
'Cause I don't wanna, I don't wanna
Don't hide, don't hide

[Outro]
Don't hide, don't hide
'Cause I don't wanna do this, I don't wanna do that

",29833455,55,"['Electro-Pop', 'Sverige', 'Electronic', 'Dance', 'Scandinavia', 'Pop Genius']",3808392,5Ddp5V1M84fKmXbtDhASu0
Geryeh Nakon,Ebi,"

آسون نشو ای همسفر
ویرون نشو ای در به در
منو بگیر از همهمه
منو به خلوتت ببر
معجزه کن خاتون من تولدی دوباره کن
منو ببر به حادثه شبو پر از شراره کن
ستاره پرپر میکنی ای نازنین گریه نکن
پروانه آتش میزنی تو اینچنین گریه نکن

گریه نکن ای شب زده ای شب نشین گریه نکن

گریه نکن گریه نکن خاتون هم گریز من
برای این دربه در بی سرزمین گریه نکن

",288657,29,['Pop Genius'],1989208,68sG7Hw7D355jPO6FmqfTq
Dark Obsession,Freedom Call,"

[Verse 1]
My secret dreamworld, it falls apart
A silent sorrow gets hold, is touching my heart
My inspiration, your genius art
Our strange relation has lost all it’s charm
Oh!

[Verse 2]
Love and passion, dead and gone
You’ve been my idol, the chosen one
Can I be free when I’m living on?

[Chorus]
In the still of the night, dark obsession inside
It's the way to my last paradise
In the still of the night, dark obsession ignites
My oasis, my paradise

[Verse 3]
Always faithful beyond all time
A strong desire was burning inside
My love is endless, it never dies
You gave a meaning to my curious life
You have denied me, you turned away

[Chorus]
In the still of the night, dark obsession inside
It's the way to my last paradise
In the still of the night, dark obsession ignites
My oasis, my paradise
Ah, ah, in the still of the night
Ah, ah, dark obsession

[Chorus]
In the still of the night, dark obsession inside
It's the way to my last paradise
In the still of the night, dark obsession ignites
My oasis, my paradise
Ah, ah, in the still of the night
Ah, ah, dark obsession

[Outro]
The time has come to take me home
In the still, in the still of the night
Show me the way and lead me home
In the still, in the still of the night

The time has, the time has come

",76844,11,"['Power Metal', 'Metal', 'Rock Genius']",1504384,3HNMF3sUciE3xKVMJmnizo
In the Heart,Dice Raw,"

[Hook]
In the heart of the city where we were raised
Can't be afraid have to be brave can't show fear
Or emotion
Show nothing

[Verse]
I hated school I hated rules
Hated all my teachers, hated all my principals
Well not all, I guess one didn't try to play me
She thought I was smart I guess she was going to save me
But when you try to save the world it makes you crazy
That's why I don't blame her for giving up
Especially on a nigga that clearly just doesn't give a fuck
Cause in my heart I already knew my fate would precede my lifestyle
And that I might die behind a gate
Because a life of crime only takes you two places
Yeah two places where you don't need no suitcases
Looking back at it moving in a few phases
It's hard to pinpoint life in these confusing ages
When childhood stops and manhood beings
Child born in the wild smiles all pretend
If a child of the wild smiles just to draw you in

[Hook]

[Verse 2]
Show no fear waiting for your ass to jump
Carry my gun everywhere like it's my asthma pump
But the only difference is it takes your breath away
So my advice is that you should walk away
And if there's no compliance
Well there's really nothing left to say
It's crazy how much hatred
We have for one another
When I buy a gun I buy it for my brother
Not as a gift but incase one of my brothers wanna
Start actin a little niggerish in a disrespectful manner
Well then I got the hammer to hit him with
Cause you can't show weakness
When you in the guerrillasness
Is this the jungle, or the neighborhood that I grew up in
If it's a jungle, pass the ammo get to bustin
I'm sure it's planned by someone who finds it interustin'
My brain, my heart
Inside inner-wrestling
My brain has my heart inside the full-nelson

[Hook]

[Verse 3]
I'm a piece of shit and I know it
It's hard to change and outgrow it
It's hard to deal with my frustrations
When I feel it I show it
Give me a chance and I'll blow it
Low and behold is my crutch
Caught in-between making a difference and not giving a fuck
I'm at [??] in a pool with a [[crayon??]] on both arms
Tired of playing a fool blind in search of shelter from harm
I'm a flower surrounded by piece of weeds on the lawn
Allergic to the rays of the Sun, but I'm leaving at dawn
I'm gone, leaving behind all the pressure and pain
All the aggression and oppression that I try to withstand
All the negative thinking that's leaving a void in my brain
All the liquor, all the weed wet pills and the cain
I'm profane and strange accept it and love me the same
I'm a work of imperfection from the vessel I came
Easy for me to play it out but it's hard to explain
It's hard making out the line between my pride and my shame

",4133,1,['Rap Genius'],366146,7B0UEMMWuqKs8sNCFdzwE4
Just As I Was Waking Up,Benjamin Francis Leftwich,"

Just as I was waking up
I hear that you're leaving
Too bad I didn't call you up
I know not the reason

You may sing your love songs through
And I don't mind waiting too
I don't mind stealing time
Amy please kill the light

",531240,13,['Rock Genius'],2843263,1U89JRnMyn0clGPiYgSG5T
Girl In The Garden,S.J. Tucker,"

It's clear as tattoos on your eyes:
A story not heard in the bright palace light
Can only be told as a secret of night
The girl in the garden and I

From a Knife to a Lantern and back, back again
She closes her eyes and weaves wonders
They hang in the air, hold my breath like a hunter
The girl in the garden and I

The stars in their courses will run
And bring their hearts earthward to hear her
The boughs of the fruit trees bend nearer
To the girl in the garden...

The fear holds us both in its hand
With every tale on my ear, it comes nearer the shore
We both dread the day when the words fall away...
And a demon will judge her
Then I fear that my dear will be gone
Shed a tear for the girl in the garden
For all of her years in the garden
The girl in the garden and I

",68642,12,['Pop Genius'],1732096,22dVL1SaBHmegHzfLIG7jb
Go Å Gå,Halvdan Sivertsen,"

Går her, går her og e glad
Himmel høy og blå
Varm vind stryk mæ langveis fra
Gjør det lett å gå
Æ vil vær go å gå, vær underveis
Aldri nå helt frem
Go å gå vær underveis
Go å gå tell siste reis
Tar mæ med helt hjem

Gå tell! Gå fri og gå fritt
Gå sæ bort, gå sur, gå på
Gå med, gå rundt, gå for vidt
Vil vær go å gå

Æ vil vær go å gå, vær underveis
Aldri nå helt frem
Go å gå vær underveis
Go å gå tell siste reis
Tar mæ med helt hjem

Og æ vil finn en blomst, en ukjent duft
Fargelagt i anna luft, æ vil se, og forstå
Vil vær go, go å gå

",9040,1,['Rock Genius'],315361,4OMRo2SrEmAwB68A4mWg8o
A Death Sentence Called Life,Coffinworm,"

The seeds of malice indeed bear bitter fruit
We are all too familiar with the taste
Lying lifeless, dying nameless, disintegrated
The genesis of irrefutable magick
The dawn of imminent defeat
And the gnosis of their disparity
I witnessed that graceful tumble:
The only thing harder than watching
Was looking away, united only in the end
End and good times synonymous
In the mind of the unwound
The kiss of nothingness cries itself to sleep at night
While we live out this emptiness
Beholden to the concept of potential bliss
This disease plagues us all, as we embrace... downfall
-Jacob's verse, his words-
Empty words, faint echoes of nothingness
Patience drained into darkness I possess
Life of despair, leaving nothing for you
Death in the air, stench of reality breathing
Through smashed face, eternally crushed
Beneath the flood, I wait and rot for all to see
Taste of blood within a noose that's conquering
Chained throat, ripping my skin with broken glass
Black as pitch

",20691,7,['Pop Genius'],1236955,0CPw8sTQhjVUhT9YqEKhrp
Time,Mr. SOS,"

""Time ... Time ... What is it?""

[Hook]
""Time ...""
People wait for it others hate all of it and many waste all of it
Time. I need to know, ""what is it""
And when it's yours what will you do?
""Time ...""
Don't lose track of it
Let it pass you, kid
Or you'll find out what's after it
""Time."" I need to know ""what is it""
Cause mine might be long overdue

[Verse 1]
Spare a minute of your time to sit and listen to a rhyme
About decisions in your life that you choose
There's this kid, they call him Byron and he misplaces his lighter
And his bills are past due so he's screwed
No ambition left to find, he sleeps until it's five
Feeds his body mad brew and fast food
Gets back too late to say hi to dad, so one day father gets mad
And tells him what to do, he's gotta move
Now he's confused, walking down the street without any shoes
And he's starting to look more skinny too
What more can he do?
He's clueless, begging quarters for food
But he's content cause that's all he's gotta do, what a fool
He should have kept better track of minutes and dollars he used
Then he could probably do whatever he wanted to
But he acts like he's trapped right where he is and he can't fight
Destined to live a bad life, but do you believe that?
Cause many don't, including his dad
Who finds him in the back of a restaurant rooting through trash
He scoops him up fast and shoots him back to the pad for brunch
Prefaces his lesson with, ""I'll only tell you once
What I'm gonna tell you now. Don't no one around
Give a fuck about your luck they just don't want you in their town
Time waits for no man."" Byron replied then
""That might be true but every man woman and child waits for-""

[Hook]

[Verse 2]
Second story's about an attorney who's on a journey
To feed his wife and child that was born prematurely
Tis the season to worry like always
For no reason cause everything due is all paid
But can't let a song play without some interjection
Becoming restless when they're running late and had nothing for breakfast
An hour late to meet the parents the mother could no longer remain calm
But just who do you place the blame on?
The same song reloops and they never stop and listen
Feeling like each day doesn't have enough hours in it
But at any given they're dealing with million dollar digits
If that's how I was living do you think I would complain? No
But back to the show with me
A rough day at court quickly turned to getting more tipsy than Nicole Richie
Rolling swiftly after boozing and cruising on purpose
Ended with the Sheriff asking ""Do you have proof of insurance?""
The answer was yes, but then he breathed a flammable breath
And the officer saw his new passenger sweat ...
""What happens next?"" Wait. Look at his license. His name is Byron
Looks like he took some advice and didn't like it
And would almost rather be back with no food on the street
Now look and see cause Byron lives in both you and me
Trusted judges among us, even brothers who lie
To survive look inside for the right balance, and you might manage

",3504,1,['Rap Genius'],33971,4XCLaXcCjjZvb1yjYGzONf
Empire's Doll,Heaven’s Cry,"

As a monarch you have grown
To expect more for your own
And every step you fake
Is to secure this fate

You’re destined to be
A doll on its knees
Following an aged plan
From your silly elitist clan

Egocentric doll

Did you really think you were the promised child?
When did you realize you couldn’t choose the path?
Following the footsteps of your legacy
You start to drown in a perverted sea

All hail to the empire’s doll!
The one watching who minds us all

Your deceitful speeches induce fear
In the elders and the meek
When lies turn to truth
Through your distorted point of view

With your gentle look hiding
Your addiction to power and greed
When your order takes it all
And ‘vampires’ us all

Egocentric doll

Did you really think you could fool us all?
That the play would really establish the norm?
A new generation awaiting for thee
For they see what you have not yet seen

All blames to the empire’s doll!
The one who enslaved and fooled us all!
Damned cult!

The end of your reign
Egocentric doll

",0,0,"['Heavy Metal', 'Canada', 'Québec', 'Rock Genius', 'Progressive Metal']",3195354,17TQ9EEoTfw2zeQfYnwE6S
'08: Surfin',The Magnetic Fields,"

Surfin'
I don't wanna go surfing
Why would surfing be fun?

Surfin'
What's the purpose of surfing?
I believe there is none

Surfin'
Boring people go surfing
In those horrible shorts

Surfin'
How moronic is surfing?
It's the dumbest of sports

Surfin'
Crowds are ruining surfing
Which is pointless and dull

Surfin'
Was transgressive and cool, but
Now the oceans are full

",32024,11,['Non-Music'],3021001,1G65MJODKvZGVWN05GYIAe
